Invoice Number	Invoice Date	Part No.		Description	Country Code	HS Code	Default	Quantity	Unit	Net Weight	Price/100	Total Price	Currency	Source
51190121	16-02-2026	5QS501052EB	#N/A	FINAL DRIVE	DE	870850	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	52.8	"14,092.19"	422.77	EUR	VOLKSWAGEN AG
51190121	16-02-2026	57L807305D	87081090	BUMPER BAR	PL	870810	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	22.314	"1,766.59"	53	EUR	VOLKSWAGEN AG
51190121	16-02-2026	5H2800345RM7P	87089900	DOOR HANDLE	CZ	392630	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	SET	0.463	"2,596.85"	25.97	EUR	VOLKSWAGEN AG
51190121	16-02-2026	5H2800345RP5J	#N/A	DOOR HANDLE	CZ	392630	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	SET	0.463	"2,596.85"	25.97	EUR	VOLKSWAGEN AG
51190121	16-02-2026	5QF601027S03C	87087000	RIM	PL	870870	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	31.65	"2,253.36"	67.6	EUR	VOLKSWAGEN AG
51190121	16-02-2026	5QF601324	40111010	TIRE	CN	401110	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	22.8	"2,067.22"	62.02	EUR	VOLKSWAGEN AG
51190121	16-02-2026	57L807109B	#N/A	"BUMPER BAR,FRONT"	CZ	870810	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	53.982	"7,033.29"	211	EUR	VOLKSWAGEN AG
51190121	16-02-2026	5QS201021AS	#N/A	FUEL TANK	HU	870899	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	35.283	"15,702.34"	471.07	EUR	VOLKSWAGEN AG
51190121	16-02-2026	57L867601A4PK	87082900	"LINING,TRUNK LID"	PL	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	8.274	"1,243.51"	37.31	EUR	VOLKSWAGEN AG
51190121	16-02-2026	57M857003C6PS	87082900	DASHBOARD	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	21.249	"14,783.35"	443.5	EUR	VOLKSWAGEN AG
51190121	16-02-2026	57L885003	94012000	REAR SEAT W. BACK 3rd ROW	PL	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	32.603	"38,203.00"	382.03	EUR	VOLKSWAGEN AG
